Date of Sale,Address,Location,Boarea,Biarea,Total Area,Number of Rooms,Plot Area,Closing Price
2021-11-17,Nygatan 36,"VillaVilla Marstrand, Kungälvs kommun",118.0,30.0,148.0,4,146,5900000
2021-11-17,Hammarberg 840,"VillaVilla Kode, Kungälvs kommun",82.0,14.0,96.0,3,1893,3420000
2021-11-16,Duvesjön 360,"VillaVilla Duvesjön, Kungälvs kommun",109.6,0.0,109.6,4,968,4600000
2021-11-15,Vallgatan 3,"VillaVilla Kungälv - Centralt, Kungälvs kommun",65.0,61.0,126.0,5,495,5800000
2021-11-12,Vallby 210,"VillaVilla Kode, Kungälvs kommun",70.0,0.0,70.0,3,1260,2550000
2021-11-12,Dotorp 470,"VillaVilla Kärna, Kungälvs kommun",127.0,0.0,127.0,4,18448,6495000
2021-11-11,Prästvägen,"VillaVilla Bohuslän, Kungälvs kommun",0.0,0.0,0.0,0,24755,1725000
2021-11-10,Bremnäs 400,"VillaVilla Lycke, Kungälvs kommun",130.0,0.0,130.0,4,2562,5800000
2021-11-10,Hammarhöjden 680,"VillaVilla Kode, Kungälvs kommun",100.0,0.0,100.0,5,1059,3650000
2021-11-05,Stenhålt 124,"VillaVilla Romelanda, Kungälvs kommun",163.0,0.0,163.0,7,1668,5600000
2021-11-04,Veneröd 430,"VillaVilla Hålta, Kungälvs kommun",92.0,0.0,92.0,4,1376,3825000
2021-11-04,Poppelvägen 1,"VillaVilla Diseröd, Kungälvs kommun",138.0,0.0,138.0,5,788,4300000
2021-11-03,Hammarhöjden 695,"VillaVilla Kode, Kungälvs kommun",92.0,0.0,92.0,3,1053,3600000
2021-11-03,Grindklykan 7,"VillaVilla Grinden, Kungälvs kommun",114.0,7.0,121.0,4,392,5095000
2021-10-30,Oxelvägen 24,"VillaVilla Diseröd, Kungälvs kommun",139.0,0.0,139.0,6,404,4000000
2021-10-30,Granliden 9,"VillaVilla Vedhall, Kungälvs kommun",181.0,25.0,206.0,5,678,9550000
2021-10-29,Dalen 150,"VillaVilla Kärna, Kungälvs kommun",154.0,0.0,154.0,6,1052,5065000
2021-10-28,Östra gatan 43,"VillaVilla Bohuslän, Kungälvs kommun",134.0,31.0,165.0,5,14036,5600000
2021-10-27,Hamngatan 1,"VillaVilla Centralt vid älven, Kungälvs kommun",136.0,83.0,219.0,6,617,6010000
2021-10-26,Kaprifolvägen 6,"VillaVilla Kärna, Kungälvs kommun",128.0,0.0,128.0,5,524,4800000
2022-09-29,Norrmannebo 110,"VillaVilla Romelanda, Kungälvs kommun",99.0,0.0,99.0,3,1720,2100000
2022-09-29,Heden 220,"VillaVilla Bohuslän, Kungälvs kommun",123.0,77.0,200.0,5,3342,4750000
2022-09-28,Gustavsbergsvägen 16,"VillaVilla Ytterby, Kungälvs kommun",105.0,91.0,196.0,4,1244,5100000
2022-09-27,Bergsvägen 28,"VillaVilla Ödsmålsmosse, Kungälvs kommun",58.0,7.0,65.0,3,1631,3075000
2022-09-24,Korpvägen 263,"VillaVilla Ullstorp, Kungälvs kommun",158.0,18.0,176.0,6,387,6500000
2022-09-22,Hemvägen 48,"VillaVilla Diseröd, Kungälvs kommun",130.0,65.0,195.0,5,696,3650000
2022-09-19,Häljeröd 640,"VillaVilla Kode, Kungälvs kommun",211.0,0.0,211.0,8,47500,7750000
2022-09-17,Stenåldersgatan 55,"VillaVilla Ytterby, Kungälvs kommun",120.0,15.0,135.0,5,395,5200000
2022-09-12,Annas väg 28,"VillaVilla Kovikshamn/Sundhammar, Kungälvs kommun",101.0,0.0,101.0,3,1118,4150000
2022-09-11,Krokebäcksvägen 95,"VillaVilla Kareby, Kungälvs kommun",123.0,0.0,123.0,5,259,5100000
2022-09-10,Björröd 260,"VillaVilla Bohuslän, Kungälvs kommun",145.0,0.0,145.0,4,4156,3300000
2022-09-09,Vävra 105,"VillaVilla Hålta, Kungälvs kommun",111.0,0.0,111.0,2,1943,2550000
2022-09-08,Högsberg 355,"VillaVilla Kode, Kungälvs kommun",94.0,0.0,94.0,4,1797,4050000
2022-09-08,Rådjursgatan 8,"VillaVilla Bohuslän, Kungälvs kommun",85.0,0.0,85.0,3,0,3195000
2022-09-06,Barlinds väg 38,"VillaVilla Instön, Kungälvs kommun",98.0,2.0,100.0,4,1290,8500000
2022-09-04,Skålgropsgatan 28,"VillaVilla Ytterby, Kungälvs kommun",122.0,0.0,122.0,4,349,5050000
2022-09-01,Tjärnstigen 10,"VillaVilla Lökeberg, Kungälvs kommun",103.0,0.0,103.0,5,1113,3800000
2022-09-01,Grepvägen 385,"VillaVilla Ullstorp, Kungälvs kommun",121.0,29.0,150.0,5,388,5710000
2022-09-01,Lerskärsvägen 13B,"VillaVilla Tjuvkil, Kungälvs kommun",128.0,0.0,128.0,4,1259,5200000
